Znamka,Model,Cena_stevilka,Prevozenih_km,kWh,Prostornina,KM,Gorivo,Prva_registracija,Menjalnik,Baterija_kWh
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Peugeot,2008,,,,1199,145,bencin,,avtomatski,
Volkswagen,Caddy,15.500,176247,,1968,102,dizel,2020,ročni,
Volkswagen,Golf,20.499,104643,,1498,131,bencin,2022,ročni,
Renault,Captur,10.600,64000,,898,90,bencin,2019,ročni,
BMW,serija 1,7.290,224989,,1995,170,bencin,2011,ročni,
Citroën,C4,7.680,148000,,1598,155,bencin,2014,ročni,
Kia,Optima,6.990,199897,,1685,136,dizel,2012,ročni,
Mercedes-Benz,C-Razred,26.990,153000,,1993,163,dizel,2022,avtomatski,
Seat,Leon,11.400,167000,,1968,184,dizel,2015,avtomatski,
Citroën,C4,15.400,80000,,1199,131,bencin,2021,avtomatski,
Volkswagen,Passat,23.930,159800,,1968,200,dizel,2021,avtomatski,
Volkswagen,Golf,7.990,179891,,1598,105,dizel,2011,avtomatski,
Mazda,CX-5,16.890,115000,,2191,150,dizel,2018,ročni,
Opel,Frontera,,,,1199,145,bencin,,avtomatski,
BMW,serija 2,17.490,200000,,1995,190,dizel,2018,avtomatski,
BMW,serija X6:,27.890,196000,,2993,258,dizel,2016,avtomatski,
BMW,serija X5:,52.990,110000,,2993,265,dizel,2020,avtomatski,
Audi,Q8,53.990,125000,,2967,286,dizel,2018,avtomatski,
BMW,serija 4,9.500,125300,,1998,184,bencin,2013,ročni,
Volvo,XC60,42.700,28000,,1969,197,bencin,2024,avtomatski,
Opel,Mokka,8.600,144000,,1686,131,dizel,2015,ročni,
Fiat,500,6.000,47417,,500,18,bencin,1970,ročni,
MINI,Countryman,4.650,249000,,1995,143,dizel,2012,ročni,
Škoda,Octavia,18.999,71400,,1968,116,dizel,2020,ročni,
Aixam,City,14.490,,,479,8,dizel,,avtomatski,
Peugeot,308,7.000,98000,,1598,156,bencin,2011,avtomatski,
Audi,A4,18.790,176495,,1968,163,dizel,2020,avtomatski,
Renault,Megane,2.490,227000,,1598,110,bencin,2009,ročni,
Volkswagen,Passat,25.990,149987,,1968,150,dizel,2022,avtomatski,
BMW,i3,10.800,62300,75,,,elektro,2017,,33
Volkswagen,Golf,8.900,218000,,1600,110,dizel,2014,avtomatski,
Citroën,C3,8.000,61700,,1199,82,bencin,2019,ročni,
Citroën,C3,7.000,94760,,1199,82,bencin,2018,ročni,
Audi,Q5,30.900,210000,,2967,286,dizel,2018,avtomatski,
Volkswagen,Golf,18.690,66320,,1968,150,dizel,2018,ročni,
Audi,A4,20.980,159868,,1968,163,dizel,2021,avtomatski,
BMW,serija 3,18.600,168000,,1995,190,dizel,2018,avtomatski,
Nissan,Note,3.880,64000,,1386,88,bencin,2007,ročni,
Volvo,XC60,,18959,,1969,197,bencin,2023,avtomatski,
Volkswagen,ID.3,22.200,21250,107,,,elektro,2022,,62
Volkswagen,Tiguan,28.500,89000,,1968,190,dizel,2019,avtomatski,
Škoda,Octavia,18.990,119000,,1968,150,dizel,2021,avtomatski,
Seat,Tarraco,22.880,153000,,1968,190,dizel,2019,avtomatski,
BMW,serija 3,8.900,,,1600,137,bencin,2015,ročni,
Kia,Pro_Ceed,4.880,118000,,1396,105,bencin,2012,ročni,
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Peugeot,2008,,,,1199,145,bencin,,avtomatski,
Volkswagen,Golf,20.499,104643,,1498,131,bencin,2022,ročni,
Renault,Captur,10.600,64000,,898,90,bencin,2019,ročni,
BMW,serija 1,7.290,224989,,1995,170,bencin,2011,ročni,
Citroën,C4,7.680,148000,,1598,155,bencin,2014,ročni,
Kia,Optima,6.990,199897,,1685,136,dizel,2012,ročni,
Mercedes-Benz,C-Razred,26.990,153000,,1993,163,dizel,2022,avtomatski,
Seat,Leon,11.400,167000,,1968,184,dizel,2015,avtomatski,
Citroën,C4,15.400,80000,,1199,131,bencin,2021,avtomatski,
Volkswagen,Passat,23.930,159800,,1968,200,dizel,2021,avtomatski,
Volkswagen,Golf,7.990,179891,,1598,105,dizel,2011,avtomatski,
Mazda,CX-5,16.890,115000,,2191,150,dizel,2018,ročni,
Opel,Frontera,,,,1199,145,bencin,,avtomatski,
BMW,serija 2,17.490,200000,,1995,190,dizel,2018,avtomatski,
BMW,serija X6:,27.890,196000,,2993,258,dizel,2016,avtomatski,
BMW,serija X5:,52.990,110000,,2993,265,dizel,2020,avtomatski,
Audi,Q8,53.990,125000,,2967,286,dizel,2018,avtomatski,
BMW,serija 4,9.500,125300,,1998,184,bencin,2013,ročni,
Volvo,XC60,42.700,28000,,1969,197,bencin,2024,avtomatski,
Opel,Mokka,8.600,144000,,1686,131,dizel,2015,ročni,
Fiat,500,6.000,47417,,500,18,bencin,1970,ročni,
MINI,Countryman,4.650,249000,,1995,143,dizel,2012,ročni,
Škoda,Octavia,18.999,71400,,1968,116,dizel,2020,ročni,
Aixam,City,14.490,,,479,8,dizel,,avtomatski,
Peugeot,308,7.000,98000,,1598,156,bencin,2011,avtomatski,
Audi,A4,18.790,176495,,1968,163,dizel,2020,avtomatski,
Renault,Megane,2.490,227000,,1598,110,bencin,2009,ročni,
Volkswagen,Passat,25.990,149987,,1968,150,dizel,2022,avtomatski,
BMW,i3,10.800,62300,75,,,elektro,2017,,33
Volkswagen,Golf,8.900,218000,,1600,110,dizel,2014,avtomatski,
Citroën,C3,8.000,61700,,1199,82,bencin,2019,ročni,
Citroën,C3,7.000,94760,,1199,82,bencin,2018,ročni,
Audi,Q5,30.900,210000,,2967,286,dizel,2018,avtomatski,
Volkswagen,Golf,18.690,66320,,1968,150,dizel,2018,ročni,
Audi,A4,20.980,159868,,1968,163,dizel,2021,avtomatski,
BMW,serija 3,18.600,168000,,1995,190,dizel,2018,avtomatski,
Nissan,Note,3.880,64000,,1386,88,bencin,2007,ročni,
Volvo,XC60,,18959,,1969,197,bencin,2023,avtomatski,
Volkswagen,ID.3,22.200,21250,107,,,elektro,2022,,62
Volkswagen,Tiguan,28.500,89000,,1968,190,dizel,2019,avtomatski,
Škoda,Octavia,18.990,119000,,1968,150,dizel,2021,avtomatski,
Seat,Tarraco,22.880,153000,,1968,190,dizel,2019,avtomatski,
BMW,serija 3,8.900,,,1600,137,bencin,2015,ročni,
Kia,Pro_Ceed,4.880,118000,,1396,105,bencin,2012,ročni,
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Peugeot,2008,,,,1199,145,bencin,,avtomatski,
Volkswagen,Golf,20.499,104643,,1498,131,bencin,2022,ročni,
Renault,Captur,10.600,64000,,898,90,bencin,2019,ročni,
BMW,serija 1,7.290,224989,,1995,170,bencin,2011,ročni,
Citroën,C4,7.680,148000,,1598,155,bencin,2014,ročni,
Kia,Optima,6.990,199897,,1685,136,dizel,2012,ročni,
Mercedes-Benz,C-Razred,26.990,153000,,1993,163,dizel,2022,avtomatski,
Seat,Leon,11.400,167000,,1968,184,dizel,2015,avtomatski,
Citroën,C4,15.400,80000,,1199,131,bencin,2021,avtomatski,
Volkswagen,Passat,23.930,159800,,1968,200,dizel,2021,avtomatski,
Volkswagen,Golf,7.990,179891,,1598,105,dizel,2011,avtomatski,
Mazda,CX-5,16.890,115000,,2191,150,dizel,2018,ročni,
Opel,Frontera,,,,1199,145,bencin,,avtomatski,
BMW,serija 2,17.490,200000,,1995,190,dizel,2018,avtomatski,
BMW,serija X6:,27.890,196000,,2993,258,dizel,2016,avtomatski,
BMW,serija X5:,52.990,110000,,2993,265,dizel,2020,avtomatski,
Audi,Q8,53.990,125000,,2967,286,dizel,2018,avtomatski,
BMW,serija 4,9.500,125300,,1998,184,bencin,2013,ročni,
Volvo,XC60,42.700,28000,,1969,197,bencin,2024,avtomatski,
Opel,Mokka,8.600,144000,,1686,131,dizel,2015,ročni,
Fiat,500,6.000,47417,,500,18,bencin,1970,ročni,
MINI,Countryman,4.650,249000,,1995,143,dizel,2012,ročni,
Škoda,Octavia,18.999,71400,,1968,116,dizel,2020,ročni,
Aixam,City,14.490,,,479,8,dizel,,avtomatski,
Peugeot,308,7.000,98000,,1598,156,bencin,2011,avtomatski,
Audi,A4,18.790,176495,,1968,163,dizel,2020,avtomatski,
Renault,Megane,2.490,227000,,1598,110,bencin,2009,ročni,
Volkswagen,Passat,25.990,149987,,1968,150,dizel,2022,avtomatski,
BMW,i3,10.800,62300,75,,,elektro,2017,,33
Volkswagen,Golf,8.900,218000,,1600,110,dizel,2014,avtomatski,
Citroën,C3,8.000,61700,,1199,82,bencin,2019,ročni,
Citroën,C3,7.000,94760,,1199,82,bencin,2018,ročni,
Audi,Q5,30.900,210000,,2967,286,dizel,2018,avtomatski,
Volkswagen,Golf,18.690,66320,,1968,150,dizel,2018,ročni,
Audi,A4,20.980,159868,,1968,163,dizel,2021,avtomatski,
BMW,serija 3,18.600,168000,,1995,190,dizel,2018,avtomatski,
Nissan,Note,3.880,64000,,1386,88,bencin,2007,ročni,
Volvo,XC60,,18959,,1969,197,bencin,2023,avtomatski,
Volkswagen,ID.3,22.200,21250,107,,,elektro,2022,,62
Volkswagen,Tiguan,28.500,89000,,1968,190,dizel,2019,avtomatski,
Škoda,Octavia,18.990,119000,,1968,150,dizel,2021,avtomatski,
Seat,Tarraco,22.880,153000,,1968,190,dizel,2019,avtomatski,
BMW,serija 3,8.900,,,1600,137,bencin,2015,ročni,
Kia,Pro_Ceed,4.880,118000,,1396,105,bencin,2012,ročni,
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Peugeot,2008,,,,1199,145,bencin,,avtomatski,
Citroën,C4,10.990,160000,,1499,131,dizel,2020,ročni,
Volkswagen,Golf,20.499,104643,,1498,131,bencin,2022,ročni,
Renault,Captur,10.600,64000,,898,90,bencin,2019,ročni,
BMW,serija 1,7.290,224989,,1995,170,bencin,2011,ročni,
Citroën,C4,7.680,148000,,1598,155,bencin,2014,ročni,
Kia,Optima,6.990,199897,,1685,136,dizel,2012,ročni,
Mercedes-Benz,C-Razred,26.990,153000,,1993,163,dizel,2022,avtomatski,
Seat,Leon,11.400,167000,,1968,184,dizel,2015,avtomatski,
Citroën,C4,15.400,80000,,1199,131,bencin,2021,avtomatski,
Volkswagen,Passat,23.930,159800,,1968,200,dizel,2021,avtomatski,
Volkswagen,Golf,7.990,179891,,1598,105,dizel,2011,avtomatski,
Mazda,CX-5,16.890,115000,,2191,150,dizel,2018,ročni,
Opel,Frontera,,,,1199,145,bencin,,avtomatski,
BMW,serija 2,17.490,200000,,1995,190,dizel,2018,avtomatski,
BMW,serija X6:,27.890,196000,,2993,258,dizel,2016,avtomatski,
BMW,serija X5:,52.990,110000,,2993,265,dizel,2020,avtomatski,
Audi,Q8,53.990,125000,,2967,286,dizel,2018,avtomatski,
BMW,serija 4,9.500,125300,,1998,184,bencin,2013,ročni,
Volvo,XC60,42.700,28000,,1969,197,bencin,2024,avtomatski,
Opel,Mokka,8.600,144000,,1686,131,dizel,2015,ročni,
Fiat,500,6.000,47417,,500,18,bencin,1970,ročni,
MINI,Countryman,4.650,249000,,1995,143,dizel,2012,ročni,
Škoda,Octavia,18.999,71400,,1968,116,dizel,2020,ročni,
Aixam,City,14.490,,,479,8,dizel,,avtomatski,
Peugeot,308,7.000,98000,,1598,156,bencin,2011,avtomatski,
Audi,A4,18.790,176495,,1968,163,dizel,2020,avtomatski,
Renault,Megane,2.490,227000,,1598,110,bencin,2009,ročni,
Volkswagen,Passat,25.990,149987,,1968,150,dizel,2022,avtomatski,
BMW,i3,10.800,62300,75,,,elektro,2017,,33
Volkswagen,Golf,8.900,218000,,1600,110,dizel,2014,avtomatski,
Citroën,C3,8.000,61700,,1199,82,bencin,2019,ročni,
Citroën,C3,7.000,94760,,1199,82,bencin,2018,ročni,
Audi,Q5,30.900,210000,,2967,286,dizel,2018,avtomatski,
Volkswagen,Golf,18.690,66320,,1968,150,dizel,2018,ročni,
Audi,A4,20.980,159868,,1968,163,dizel,2021,avtomatski,
BMW,serija 3,18.600,168000,,1995,190,dizel,2018,avtomatski,
Nissan,Note,3.880,64000,,1386,88,bencin,2007,ročni,
Volvo,XC60,,18959,,1969,197,bencin,2023,avtomatski,
Volkswagen,ID.3,22.200,21250,107,,,elektro,2022,,62
Volkswagen,Tiguan,28.500,89000,,1968,190,dizel,2019,avtomatski,
Škoda,Octavia,18.990,119000,,1968,150,dizel,2021,avtomatski,
Seat,Tarraco,22.880,153000,,1968,190,dizel,2019,avtomatski,
BMW,serija 3,8.900,,,1600,137,bencin,2015,ročni,
Kia,Pro_Ceed,4.880,118000,,1396,105,bencin,2012,ročni,
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Volkswagen,Golf,20.499,104643,,1498,131,bencin,2022,ročni,
Renault,Captur,10.600,64000,,898,90,bencin,2019,ročni,
BMW,serija 1,7.290,224989,,1995,170,bencin,2011,ročni,
Citroën,C4,7.680,148000,,1598,155,bencin,2014,ročni,
Kia,Optima,6.990,199897,,1685,136,dizel,2012,ročni,
Mercedes-Benz,C-Razred,26.990,153000,,1993,163,dizel,2022,avtomatski,
Seat,Leon,11.400,167000,,1968,184,dizel,2015,avtomatski,
Citroën,C4,15.400,80000,,1199,131,bencin,2021,avtomatski,
Volkswagen,Passat,23.930,159800,,1968,200,dizel,2021,avtomatski,
Volkswagen,Golf,7.990,179891,,1598,105,dizel,2011,avtomatski,
Mazda,CX-5,16.890,115000,,2191,150,dizel,2018,ročni,
Opel,Frontera,,,,1199,145,bencin,,avtomatski,
BMW,serija 2,17.490,200000,,1995,190,dizel,2018,avtomatski,
BMW,serija X6:,27.890,196000,,2993,258,dizel,2016,avtomatski,
BMW,serija X5:,52.990,110000,,2993,265,dizel,2020,avtomatski,
Audi,Q8,53.990,125000,,2967,286,dizel,2018,avtomatski,
BMW,serija 4,9.500,125300,,1998,184,bencin,2013,ročni,
Volvo,XC60,42.700,28000,,1969,197,bencin,2024,avtomatski,
Opel,Mokka,8.600,144000,,1686,131,dizel,2015,ročni,
Fiat,500,6.000,47417,,500,18,bencin,1970,ročni,
MINI,Countryman,4.650,249000,,1995,143,dizel,2012,ročni,
Škoda,Octavia,18.999,71400,,1968,116,dizel,2020,ročni,
Aixam,City,14.490,,,479,8,dizel,,avtomatski,
Peugeot,308,7.000,98000,,1598,156,bencin,2011,avtomatski,
Audi,A4,18.790,176495,,1968,163,dizel,2020,avtomatski,
Renault,Megane,2.490,227000,,1598,110,bencin,2009,ročni,
Volkswagen,Passat,25.990,149987,,1968,150,dizel,2022,avtomatski,
BMW,i3,10.800,62300,75,,,elektro,2017,,33
Volkswagen,Golf,8.900,218000,,1600,110,dizel,2014,avtomatski,
Citroën,C3,8.000,61700,,1199,82,bencin,2019,ročni,
Citroën,C3,7.000,94760,,1199,82,bencin,2018,ročni,
Audi,Q5,30.900,210000,,2967,286,dizel,2018,avtomatski,
Volkswagen,Golf,18.690,66320,,1968,150,dizel,2018,ročni,
Audi,A4,20.980,159868,,1968,163,dizel,2021,avtomatski,
BMW,serija 3,18.600,168000,,1995,190,dizel,2018,avtomatski,
Nissan,Note,3.880,64000,,1386,88,bencin,2007,ročni,
Volvo,XC60,,18959,,1969,197,bencin,2023,avtomatski,
Volkswagen,ID.3,22.200,21250,107,,,elektro,2022,,62
Volkswagen,Tiguan,28.500,89000,,1968,190,dizel,2019,avtomatski,
Škoda,Octavia,18.990,119000,,1968,150,dizel,2021,avtomatski,
Seat,Tarraco,22.880,153000,,1968,190,dizel,2019,avtomatski,
BMW,serija 3,8.900,,,1600,137,bencin,2015,ročni,
Kia,Pro_Ceed,4.880,118000,,1396,105,bencin,2012,ročni,
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Peugeot,2008,,,,1199,145,bencin,,avtomatski,
Volkswagen,Golf,20.499,104643,,1498,131,bencin,2022,ročni,
Renault,Captur,10.600,64000,,898,90,bencin,2019,ročni,
BMW,serija 1,7.290,224989,,1995,170,bencin,2011,ročni,
Citroën,C4,7.680,148000,,1598,155,bencin,2014,ročni,
Kia,Optima,6.990,199897,,1685,136,dizel,2012,ročni,
Mercedes-Benz,C-Razred,26.990,153000,,1993,163,dizel,2022,avtomatski,
Seat,Leon,11.400,167000,,1968,184,dizel,2015,avtomatski,
Citroën,C4,15.400,80000,,1199,131,bencin,2021,avtomatski,
Volkswagen,Passat,23.930,159800,,1968,200,dizel,2021,avtomatski,
Volkswagen,Golf,7.990,179891,,1598,105,dizel,2011,avtomatski,
Mazda,CX-5,16.890,115000,,2191,150,dizel,2018,ročni,
Opel,Frontera,,,,1199,145,bencin,,avtomatski,
BMW,serija 2,17.490,200000,,1995,190,dizel,2018,avtomatski,
BMW,serija X6:,27.890,196000,,2993,258,dizel,2016,avtomatski,
BMW,serija X5:,52.990,110000,,2993,265,dizel,2020,avtomatski,
Audi,Q8,53.990,125000,,2967,286,dizel,2018,avtomatski,
BMW,serija 4,9.500,125300,,1998,184,bencin,2013,ročni,
Volvo,XC60,42.700,28000,,1969,197,bencin,2024,avtomatski,
Opel,Mokka,8.600,144000,,1686,131,dizel,2015,ročni,
Fiat,500,6.000,47417,,500,18,bencin,1970,ročni,
MINI,Countryman,4.650,249000,,1995,143,dizel,2012,ročni,
Škoda,Octavia,18.999,71400,,1968,116,dizel,2020,ročni,
Aixam,City,14.490,,,479,8,dizel,,avtomatski,
Peugeot,308,7.000,98000,,1598,156,bencin,2011,avtomatski,
Audi,A4,18.790,176495,,1968,163,dizel,2020,avtomatski,
Renault,Megane,2.490,227000,,1598,110,bencin,2009,ročni,
Volkswagen,Passat,25.990,149987,,1968,150,dizel,2022,avtomatski,
BMW,i3,10.800,62300,75,,,elektro,2017,,33
Volkswagen,Golf,8.900,218000,,1600,110,dizel,2014,avtomatski,
Citroën,C3,8.000,61700,,1199,82,bencin,2019,ročni,
Citroën,C3,7.000,94760,,1199,82,bencin,2018,ročni,
Audi,Q5,30.900,210000,,2967,286,dizel,2018,avtomatski,
Volkswagen,Golf,18.690,66320,,1968,150,dizel,2018,ročni,
Audi,A4,20.980,159868,,1968,163,dizel,2021,avtomatski,
BMW,serija 3,18.600,168000,,1995,190,dizel,2018,avtomatski,
Nissan,Note,3.880,64000,,1386,88,bencin,2007,ročni,
Volvo,XC60,,18959,,1969,197,bencin,2023,avtomatski,
Volkswagen,ID.3,22.200,21250,107,,,elektro,2022,,62
Volkswagen,Tiguan,28.500,89000,,1968,190,dizel,2019,avtomatski,
Škoda,Octavia,18.990,119000,,1968,150,dizel,2021,avtomatski,
Seat,Tarraco,22.880,153000,,1968,190,dizel,2019,avtomatski,
BMW,serija 3,8.900,,,1600,137,bencin,2015,ročni,
Kia,Pro_Ceed,4.880,118000,,1396,105,bencin,2012,ročni,
Alfa,Romeo,33.990,68000,,2143,209,dizel,2021,avtomatski,
Audi,A3,6.990,228300,,1395,125,bencin,2013,ročni,
BMW,serija 2,14.999,152000,,1995,150,dizel,2018,avtomatski,
Dongfeng,Box,24.900,,70,,,elektro,,,"43,2"
Peugeot,2008,,,,1199,145,bencin,,avtomatski,
